ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93
1037,,coyote,spider,man,comic,drawing,line,art,color,television,cartoon,network,shows,streaming,stream,water,river,ocean,beach,outside,woods,trees,plants,mushroom,fungai,toad,frog,lizard,dragon,asia,china,japan,korea,beauty,skincare,love,flowers,red,pink,purple,violets,roses,lily,water,river,lake,fresh,dock,alligator,swamp,green,plants,moss,firefly,princess,prince,frogs,logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,you,he,treat,dog,cat,pets,hair,clean,vacuum,read,ready,trees,forest,plants,parks,urban,city,sidewalk,cars,traffic,environment,heat,pleasure,water,ocean,beach,high,school,education,life,family,parents,brother,sister,husband,wife,child,student,game,agents,canyon,sun,moon,mountain,lake,river,laptop,computer,keyboard,carpet,couch,futon,chair,lounge,leisure,pillow,state,country,flight,travel,sleep,as,he,slept,slumber,party,girls,friends,plane,calm,patience,relax,party,drink,alcohol,read,book,neighbour,sober,beer,amsterdam,house,,,,,,,,,,,,
1039,,fred,twin,boys,black,cat,halloween,time,ticking,clock,face,smile,teeth,gnash,sound,ear,wax,floor,mop,head,cold,freezing,winter,ice,snow,bleh,unhappy,depressed,texas,leave,california,coast,sunshine,beach,daughter,college,school,study,books,read,leisure,time,relax,tired,sleep,hmm,don,know,anything,else,blank,mind,empty,trash,can,story,time,out,side,front,door,open,table,pet,loss,grief,sadness,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,,dog,cat,halloween,orange,leaves,festive,spice,christmas,tree,decorate,spider,web,scary,dream,salt,pepper,costume,dress,vampire,blood,suck,castle,europe,travel,plane,train,car,boat,water,fish,ship,line,phone,mobile,glasses,shirt,pants,shoes,glasses,somber,casual,comfortable,relaxed,sad,somber,cry,tear,upset,upset,eyes,moist,crying,alone,apart,wrong,something,tales,ordinary,person,neighbor,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,,give,up,anythin,start,end,pear,boar,i,get,him,back,make,him,jealous,you,are,tear,late,reap,lore,show,bloom,youre,try,tie,beat,bear,bare,hang,hung,her,him,she,they,move,look,love,found,four,guys,sincerity,scary,im,in,with,you,ask,about,sweater,the,cow,something,weather,about,wait,pretend,make,my,friend,heart,wrenching,story,make,me,understand,look,i,i,was,asked,to,understand,wrench,coworker,friend,as,close,coworkers,share,intimate,,,,,,,,,,,,,,
1043,,dinosaur,model,planet,computer,blinding,ichthyosaurus,cupboard,hustle,endoplasmic,coronal,heart,valve,imagination,blood,clone,quirky,special,gay,love,cute,boyfriend,animal,fish,quack,duck,beautiful,raccoon,partner,pronouns,lifetime,names,gender,her,tank,american,lifestyle,personality,quality,guarded,fucker,meanie,hatred,anger,apology,party,stand,fried,games,hairnet,hospital,gown,lovely,yard,swings,barbecue,father,discs,orders,restaurant,eating,barbecue,already,repeat,sorry,never,ending,hook,window,airplane,draft,cold,,,,,,,,,,,,,,,,,,,,,,,
1044,,dance,ballet,music,sing,artist,vocals,voice,throat,lungs,breathe,living,flowers,outside,recess,kids,teachers,math,numbers,adding,subtracting,money,shopping,clothes,jacket,winter,snow,sled,fun,smile,happy,feelings,anger,fight,siblings,family,child,pregnant,crib,blankets,warm,fire,smores,leave,go,drive,travel,airplane,disney,rides,mechanics,robots,movies,dog,love,cuddles,kiss,pet,walk,leash,pull,art,paint,brush,colors,cricut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,,begin,start,go,run,race,compete,group,people,community,town,city,state,country,world,globe,geography,learning,education,school,college,inform,teacher,students,study,research,understand,knowledge,test,researcher,studies,nature,animals,humans,psychology,brain,mind,thoughts,emotions,emotions,feelings,happiness,sadness,anger,surprise,party,thoughts,loneliness,feeling,personal,alone,disconnected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,,cat,dog,rabbit,fish,water,air,clouds,sun,sky,space,stars,earth,ground,volcano,lava,hot,cold,ice,room,couch,chair,sit,stand,run,jog,jump,fly,baloon,banana,monkey,climb,tree,leaf,green,blue,red,anger,mad,yell,whisper,relax,excite,active,hear,listen,talk,discuss,meeting,work,job,office,chair,desk,neighbour,house,yard,lawnmowing,clippings,rake,lake,water,calm,peaceful,sand,art,paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,,start,begin,enter,exit,door,way,hall,under,vague,water,back,sight,vision,ear,leg,arm,hand,type,key,note,write,auxiliary,eyes,study,imagine,understand,determine,wash,pressure,escape,end,desk,glow,bask,turkey,alas,twitch,receipt,cowboy,amend,turbulence,airplane,commode,story,building,high,jump,parachute,lie,incision,escapade,sit,phone,art,details,rose,rosary,female,love,gentle,fabric,scene,box,credit,oblivious,harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,,baby,bagel,nature,dog,cat,door,fan,cereal,bee,bump,lake,drive,boy,girl,random,hate,argue,yell,slam,annoy,skin,bed,hat,top,angel,ark,blanket,pillow,dress,floor,cabin,tree,bird,water,boat,swim,sleep,stomach,eye,nose,ear,tv,music,playing,drive,tragic,accident,book,read,dance,psychedelic,skin,nails,paint,sober,alcohol,drink,drank,drunk,neighbor,blonde,fence,walk,chair,hat,glasses,coat,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,,hit,height,hot,hat,hug,hoot,loot,stool,cool,slim,pin,pinch,hint,fetch,sit,stand,steal,stomp,stamp,hurt,hurl,hull,howl,owl,laugh,lot,laundry,coffin,counter,control,consist,conflict,concern,disturb,dissappointed,litter,bitter,butter,flower,flavor,believe,endure,insecure,secure,punish,instrument,insignificant,favorite,saturate,stutter,stammer,stunt,stink,luck,based,bias,complete,shut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,,cereal,dark,baseball,movie,rat,hat,lost,trojans,city,football,sneakers,radioactive,pliable,satellite,ufo,mars,water,ocean,zebra,horse,donkey,scorpion,skillet,croissant,donut,cheeseburger,momento,liable,scrumptious,lethargic,individual,made,cookie,snickerdoodle,university,creation,god,elves,santa,presents,devil,broken,death,hell,voluptuous,crap,colorado,boulder,aurora,liable,creative,genius,california,fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,,cat,hat,tree,bonsai,garden,japan,river,lake,pond,koi,food,flower,art,paint,canvas,dog,mountain,grass,rocks,stone,tomato,banana,date,soup,pen,draw,paper,drink,water,ginger,carrot,juice,ice,cream,potato,wood,slat,plant,peace,tranquil,prayer,Jesus,church,heaven,angels,inscence,smoke,air,ferns,maples,cherries,soul,meditation,peace,quiet,health,moon,stars,earth,soul,solo,introvert,house,minimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,,game,bat,hug,chair,tree,neighbor,run,car,cactus,trash,bird,router,air,water,fire,notebook,pill,pen,pear,penguin,hundred,far,fair,fun,yeah,bored,where,grass,clothes,toes,bear,computer,controller,fun,why,bug,door,water,truck,couch,internet,umbrella,van,then,porch,gut,window,bush,hair,face,weeds,not,hard,fine,sure,dolphin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,,car,Tire,WASH,CLOTH,BAG,HANDLE,BARS,STOOLS,PAINT,BRUSH,TEETH,CLEANING,RAG,DOLL,HOUSE,KEY,FOB,CHAIN,SAW,MILL,HOUSE,GIRL,LOVER,BOY,FRIEND,SHIP,WRECK,BALL,RACK,ROOM,MATE,SCHOOL,PAY,DAY,TRIP,SCHOOL,BREAK,FAST,CAR,LINK,TIME,LINE,DANCE,ROOM,MATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,,apple,banana,split,wood,stove,cook,food,shop,bag,oranges,pinapple,cake,pan,peter,pumpkin,fall,love,joy,blessing,prayer,family,home,safe,money,job,work,hard,study,school,bus,boy,restaurant,eat,celebrate,birthday,baby,mother,toys,play,ground,spices,kitchen,table,setting,ring,wedding,life,retire,family,travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,,dog,cat,animal,phone,keyboard,light,dark,card,calendar,picture,price,game,word,study,floor,chair,table,paper,rock,sack,canvas,wood,board,tablet,desk,computer,wall,ceiling,fixture,bathroom,toilet,pan,door,window,sidewalk,car,bike,can,pen,kid,baby,husband,father,mother,wife,screen,pig,rhino,democrat,man,worm,bug,ears,news,fox,cnn,redial,bag,cabinet,files,trash,cord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,,purple,plant,flower,dirt,can,pen,cup,pins,speaker,glasses,flashdrive,sign,unicorn,duck,email,ogre,rainbow,september,june,laura,vodka,tired,home,drive,old,impala,tires,billboard,photos,screen,cart,box,label,printer,scanner,motherboard,jesus,heaven,gold,angel,church,music,artist,canvas,pian,keyboard,silence,books,notes,radio,streaming,carpet,chair,poster,bed,wallpaper,mirror,brush,makeup,mascara,breakup,sad,boy,dumb,girl,talk,guilt,cheating,lies,hopelessness,friends,support,mean,bully,lies,conceited,lonely,afraid,shame,guilt,cold,heartless,coffee,,,,,,,,,,,
1065,,bridge,out,house,boat,shed,garden,glove,baseball,mit,oven,heater,furnice,energy,converter,car,hart,romance,time,in,out,about,round,ball,red,wood,stock,chicken,little,boy,hood,jacket,jean,cold,frozen,ice,cream,cheese,curd,milk,man,spice,pepper,season,winter,wonderland,alice,cullen,twilight,zone,abyss,vampire,werewolf,bite,teeth,whitener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,,computer,mouse,cheese,eat,food,meal,spaghetti,sauce,tomato,salad,lettuce,garden,flower,vase,water,drink,glass,mirror,reflection,picture,frame,photograph,camera,phone,call,friend,talk,gossip,television,show,theatre,play,musical,song,listen,sad,cry,tears,sorrow,depression,sleep,pillow,bed,nap,rest,walk,park,nature,outside,weather,summer,sunny,hot,campfire,stories,spooky,ghost,scary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,,pumpkin,pie,in,the,sky,blue,jet,plane,go,vacation,fun,time,clock,keeper,law,money,poverty,rent,landlords,capitalism,socialism,communism,commerce,commercial,picture,movie,oscar,meyer,weiner,bun,mustard,ketchup,relish,pickles,barbeue,macaroni,cheese,potato,Susie,neighbor,nextdoor,girl,boy,man,woman,family,pet,dog,taxes,april,may,month,first,second,third,dog,puppy,beagle,stbernard,poodle,goldenretriever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,,study,test,school,students,desks,chairs,table,kitchen,stove,cookies,fall,candles,pumpkins,mums,decorations,christmas,ornaments,gifts,tree,outside,hiking,lake,grass,green,pink,yellow,bus,stress,tired,overwhelmed,kids,train,town,listen,loud,horn,car,black,friend,fun,trips,conversations,company,enjoyment,laughter,excitement,holidays,family,neighbor,paint,friendly,dog,barking,loudly,sleep,dreams,book,reading,story,plot,foreshadowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,,scream,wind,orange,dream,leave,alon,whoops,turn,head,left,top,girl,free,bird,lip,trip,door,bad,house,wilson,nerd,germ,lofr,loft*,groin,dump,arse,queer,drip,nun,crass,lime,plump,hat,manatee,sturgeon,ocean,playlist,music,seatbelt,piano,long,key,note,music,loud,concerto,solemn,distress,mariecurie,frankly,smiths,loner,grape,bite,hannibal,cannibal,resident,apartment,neighbor,small,city,rural,country,home,why,school,drab,lift,drake,,,,,,,,,,,,,,,,,,,,,,,,
1072,,dog,cat,animal,pet,cuddle,fluffy,soft,safe,warm,comfort,holiday,pumpkin,spice,cake,hungry,food,breakfast,coffee,sugar,sweet,dessert,truffle,pasta,dinner,cooking,single,independent,strong,woman,work,home,busy,tired,sleep,dream,relax,stress,break,shower,peace,freedom,sun,warm,happy,loved,family,home,laugh,travel,fly,pack,laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,,word,begin,no,yes,play,ball,hall,tall,mall,flay,yay,hey,nay,may,lay,say,pay,bay,apple,orange,banana,strawberry,grape,lemon,watermelon,melon,water,soda,juice,milk,beverage,age,number,numeral,eat,meat,neat,heat,seat,wheat,neighbor,tale,friend,end,send,bend,tend,lend,mend,rend,community,unity,fruity,hand,arm,leg,foot,head,figure,nobel,skating,skate,late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,,great,awesome,cool,okay,nice,fun,games,youtube,video,tv,movie,camera,film,audio,sound,music,orchestra,violin,play,outside,playground,dirt,mud,jeep,tire,rubber,latex,glove,kitchen,cooking,food,meal,eat,delicious,strawberry,fruit,smoothie,milkshake,mcdonalds,fries,deep,ocean,octopus,weird,quirky,fun,crafts,crochet,dnd,game,roleplay,qizard,wizard,spells,magic,school,learning,fun,reading,math,science,smart,nerd,glasses,zits,braces,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,,dog,fur,hair,mess,clean,swiffer,mop,wet,water,swim,paddle,sun,wind,rain,snow,winter,icy,gloves,shovel,stairs,slip,wet,two,dozen,eggs,breakfast,waffles,pancakes,syrup,maple,sweet,sugar,candy,apple,red,green,veggie,broccoli,trees,leaves,sunny,summer,heat,warmth,hot,sweaty,nervous,story,tell,book,read,words,telling,reading,group,school,desks,accountant,money,dollars,ledger,counting,numbers,decimal,percent,nerd,work,dull,noon,lunch,,,,,,,,,,,,,,,,,,,,,,,,
1076,,animal,bird,flight,air,clouds,wind,breezy,cool,refreshing,relax,renew,quiet,solitude,isolation,loneliness,peace,gentle,warm,blanket,cover,wrap,gift,give,take,hold,drop,break,fix,mend,repair,clothes,wear,undress,clean,water,drink,sip,chug,beer,keg,sharing,story,tale,information,talking,sharing,explaining,describing,immersive,enthralling,worker,dedicated,focused,intense,alone,person,isolation,introverted,introverted,hermit,asocial,quiet,alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,,apple,fun,phone,pen,mineral,gold,water,mouse,dog,cat,phone,computer,door,clipper,scissor,love,shows,chat,award,table,wood,friend,sweet,good,bottle,card,poker,tube,study,watch,movie,show,neighbor,mate,reciept,time,clock,tale,tail,market,jump,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,,blattodea,cockroach,scary,scream,movie,horror,comedy,netflix,chill,popcorn,sex,condom,baby,ah,poor,groceries,expensive,safeway,pear,red,potato,mediterranean,falafel,delicious,moist,herbs,cinnamon,coffee,warm,winter,autumn,starbucks,christmas,family,cozy,socks,robe,flu,coronavirus,cough,earache,antibiotics,pregnant,edema,homeless,massage,starving,cold,winter,dark,lonely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,,any,now,big,small,tiny,bug,dragonfly,beautiful,nature,creek,water,fish,crappy,fried,french,gross,smelly,tasty,morning,night,by3,bye,twenty,two,age,month,day,year,spoon,fed,pig,wilbur,pink,city,smug,factories,depression,money,bills,power,depression,depressed,laugh,happy,excited,babies,cute,white,blue,red,old,grey,storms,weather,sunny,sun,rainbow,colors,kiss,lips,rose,red,lush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,,sun,wind,colour,warmth,coffee,tea,cookies,cozy,slippers,grey,sheep,soft,pillow,velvet,smooth,luxurious,jewelry,pearls,oysters,ocean,mermaids,fins,scales,scallops,sealion,coat,sleek,white,cold,cottage,wildflowers,snow,powdery,sugar,frosting,cupcakes,moist,sweet,buttery,aroma,bakery,bread,soup,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,,pizza,button,ball,basket,blank,game,type,time,bored,game,question,purple,ginger,fred,harry,buffon,girl,atom,swim,pizza,seek,tale,dragon,butt,scallwag,user,yesterday,popcorn,jewels,peanut,dice,happy,hinge,door,west,vague,timber,deed,zoo,under,garbage,find,dude,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,,cat,dog,mouse,house,car,window,firee,pet,octopus,laugh,smile,dance,peanut,write,read,dad,mom,aunt,phone,crate,crayon,draw,tv,microphone,spouse,marriage,computer,internet,screen,numbers,alphabet,clothes,boots,lemon,lime,apple,light,bee,fan,desk,table,partner,ball,see,nose,dread,hair,grease,greed,money,bag,purse,eraser,air,toad,water,bed,teeth,brush,comb,fingers,caramel,camel,tips,doctot,writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,,phone,case,brief,medicine,sick,patient,wait,staff,stick,tree,leaf,green,grow,water,drink,glass,clear,blue,sky,cloud,plane,pilot,pen,ink,black,night,star,moon,round,pizza,pepperoni,red,blood,bandage,sticky,gum,chew,cud,cow,spots,sees,glasses,blindness,eyes,pupils,friend,pal,acquaintence,people,person,human,body,biology,cells,plants,house,building,structure,architecture,builders,construction,machinery,loud,web,spider,scary,Halloween,pumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,,Pizza,candy,hungry,gummyworms,chair,high,baby,child,pacifier,aunt,house,white,green,gold,sports,football,braininjury,boxing,app,media,son,water,fall,summer,park,grass,forest,witch,halloween,chocolate,pumpkin,nights,mystery,moon,spooky,cat,black,dark,stars,sun,jupiter,planets,unfortunate,job,corporate,sad,bad,boring,depressing,hate,good,better,real,honest,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,,first,end,last,begin,fight,die,lose,kil,win,eat,find,bread,dinner,table,sky,cloud,run,feel,type,access,internet,foul,bird,smell,wash,dry,dine,over,top,feel,cart,car,carpet,clean,guitar,play,fun,jump,house,bounce,clown,fort,fight,champion,belt,money,earn,wallet,account,bank,spend,poor,homeless,street,California,law,pass,congress,senate,state,department,help,police,arrest,fine,face,grim,clown,eat,burger,cook,raw,medium,light,color,hair,blonde,color,blue,spike,gel,cream,style,handsome,attractive,blue,kiss,marry,,,,,,
1086,,apples,trees,pie,cake,happy,true,false,goals,honest,life,hope,use,money,berries,chicken,moon,sun,grapes,halloween,christmas,family,love,dreams,heart,yoyo,toy,child,cards,games,pumpkin,ghosts,happiness,happiness,friends,hallow,witch,scary,spooky,skies,dog,cat,crows,cute,adorable,mysterious,alluring,spooky,tales,ghouls,latte,stories,scary,haunting,good,times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,,word,said,beg,led,tear,fear,steer,hear,rear,liar,lair,hair,share,fair,pear,sheer,butter,copper,hammer,lame,fame,shame,tame,same,came,sold,told,fold,stole,cold,flood,food,shoot,look,soup,hung,fang,thing,hen,den,pen,sink,think,link,old,scold,gold,hold,pink,feet,heat,eat,date,faith,seer,hate,delay,relay,decay,flee,fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,,water,ice,drink,soda,carbonation,fizz,sneeze,allergy,flowers,spring,rain,thunderstorms,tornado,destruction,loss,money,bills,debt,buried,death,funeral,gathering,party,crying,sadness,depression,sleep,pillow,bed,comfort,food,mexican,margarita,cooking,spaghetti,sauce,tomatoes,garden,soil,compost,scraps,grass,lawn,weeds,compost,worms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,,tree,blue,table,work,money,determination,strength,tired,proud,weak,scared,sad,up,depressed,lonely,pathetic,stupid,worried,unfufilled,hopeful,single,fear,poor,individual,loss,family,miss,travel,unparrell,good,free,happy,wild,young,old,time,loss,open,freedom,why,question,wonder,awe,lucky,hippy,road,trip,fly,dream,big,open,experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,,cowboy,frontier,learn,cultivate,life,civilization,religion,outcast,hate,different,unknown,new,cattle,life,horse,new,trail,fear,danger,thieves,fighting,family,together,life,nodding,learning,understanding,forever,student,need,stress,overwhelming,understanding,over,needing,wanting,requiring,over,continuing,feeling,fear,protection,protest,acceptance,reliance,compassion,forever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,,lynx,talk,green,party,radio,help,fart,go,innoculate,feline,food,scuba,envelope,grass,sleepy,universe,farthing,snow,no,glass,jump,maybe,friend,bad,romantic,dale,news,beach,dune,xray,sky,fense,defense,fence,lost,married,pretty,failed,chocolate,drowned,hate,love,petty,stupid,chased,wistful,clouds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,,pizza,cheese,tomato,delivery,car,gasoline,money,job,employment,living,wage,career,fufilment,life,schoo,school,study,friends,tests,stress,managment,upperclassmen,lowerclassmen,teachers,office,work,regional,district,impress,ceo,salary,bonus,promotion,constant,nuanced,books,library,study,commited,nonstop,labor,computer,games,videos,editor,obsessed,famous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,,crest,river,water,hydrate,liquid,fluid,wet,rain,precipitation,snow,winter,cold,frigid,temperature,fahrenheit,celsius,outdoor,weather,clouds,climate,tundra,taiga,arctic,north,polar,aurora,sky,constellation,bear,crab,beach,Atlantic,ocean,salty,savory,pretzels,food,supermarket,consumer,marketing,corporate,offices,city,skyscrapers,streets,squares,walking,biking,central,story,fable,novel,fiction,biography,autobiography,memoir,bookstore,carpet,coffee,cafe,streetside,pastry,artisan,sweet,fruits,plate,spoon,account,memory,recollection,eyewitness,event,,,,,,,,,,,,,,,,,,,,,,
1151,,begin,start,start,finish,last,first,what,is,sun,beam,log,wood,fire,starter,song,techno,dance,hall,reggae,brown,shirt,pants,underwear,butt,poop,toilet,plunger,cleaner,dirty,water,clean,dishes,time,enough,no,yes,grandma,grandad,mom,dad,sister,brother,aunt,page,book,read,neighbor,boy,bike,ride,street,fun,ball,hoop,small,town,home,friend,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,,hello,how,to,jeep,loop,kite,fly,plane,air,cloud,fluff,pillow,bed,blanket,sheet,metal,steel,iron,nail,board,wood,split,bend,stretch,yoga,pilates,muscles,pool,swim,float,game,score,field,win,lose,loose,happy,house,home,street,lamp,car,wheel,rim,alloy,rest,sleep,tired,nap,cozy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,,tree,will,box,cat,in,mind,for,also,devilish,copy,too,then,than,if,try,to,extract,guide,she,mate,top,turn,bed,sit,sat,oops,soap,tire,iron,speaker,wheel,lamp,post,zelda,cart,pens,shop,type,brush,bruise,apple,worm,can,candid,traverse,momentum,afraid,burger,bloody,loose,tooth,teeth,yeild,tech,cheesy,loops,rhythm,beat,beast,best,bikes,bite,prefer,meat,vote,god,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,,hat,head,hair,scrunchie,brush,hairdryer,shampoo,conditioner,showe,shower,water,sink,toilet,bathroom,towel,bar,soap,room,couch,chair,blanket,dog,book,TV,phome,phone,wifi,computer,email,letter,computer,monitor,mouse,keyboard,postit,plug,speaker,headset,table,window,door,glass,straw,light,lamp,kitchen,coffee,tea,pineapple,apple,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,,cat,cute,adorable,hug,warm,sweet,love,happy,joy,sunshine,sunny,weather,rain,hail,cold,snow,chilly,chocolate,fire,hot,outside,grass,weeds,flowers,trees,plants,grow,big,small,average,amazing,wonderful,brilliant,stunning,beautiful,star,space,planet,earth,rotation,axis,oxygen,breathe,precious,dear,wander,wonder,spectacle,sparkle,dazzle,amaze,sing,dance,spin,twirl,leap,hop,skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,,cat,dog,bark,fetch,bone,skeleton,human,body,male,boy,girl,people,crowd,rush,packed,stress,sweat,tired,rest,sleep,bed,night,dark,story,book,read,pages,words,letters,alphabet,song,music,sing,melody,tune,instrument,violin,strings,tennis,sports,baseball,taxes,audit,firm,consulting,business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
